date,clicks,impressions,ctr,position
2026-07-15,23,4827,0.4765,8.06
2026-07-16,17,4749,0.3580,7.29
2026-07-17,20,4731,0.4227,7.49
2026-07-18,34,4781,0.7111,7.28
2026-07-19,23,4707,0.4886,7.32
2026-07-20,26,4913,0.5292,7.55
2026-07-21,28,5281,0.5302,7.87
2026-07-22,34,5126,0.6633,7.30
2026-07-23,35,5285,0.6623,7.52
2026-07-24,64,5848,1.0944,7.84
2026-07-25,28,5985,0.4678,7.97
2026-07-26,17,6335,0.2684,8.09
2026-07-27,28,5936,0.4717,8.95
2026-07-28,13,5430,0.2394,9.41
2026-07-29,26,5390,0.4824,9.18
2026-07-30,16,5614,0.2850,9.31
2026-07-31,16,5578,0.2868,9.12
2026-08-01,29,5929,0.4891,9.37
2026-08-02,28,6103,0.4588,9.74
2026-08-03,23,6164,0.3731,9.32
2026-08-04,39,5962,0.6541,8.50
2026-08-05,26,7382,0.3522,9.73
2026-08-06,34,6795,0.5004,9.38
2026-08-07,28,6248,0.4481,8.09
2026-08-08,22,7074,0.3110,7.47
2026-08-09,29,7123,0.4071,9.25
2026-08-10,33,7160,0.4609,9.30
2026-08-11,42,6745,0.6227,8.98
2026-08-12,32,6790,0.4713,9.10
2026-08-13,38,8055,0.4718,10.41
2026-08-14,28,6823,0.4104,8.61
2026-08-15,46,6524,0.7051,8.27
2026-08-16,48,7481,0.6416,9.26
2026-08-17,38,7888,0.4817,9.71
2026-08-18,33,6662,0.4953,8.62
2026-08-19,39,7283,0.5355,8.62
2026-08-20,60,7423,0.8083,8.18
2026-08-21,54,7867,0.6864,7.89
2026-08-22,50,7358,0.6795,7.86
2026-08-23,55,9291,0.5920,8.77
