page,clicks,impressions,ctr,position
https://www.epickor.com/business/apr-medicube-global-beauty-tech-deep-dive,7,1295,0.5405,7.40
https://www.epickor.com/business/dorco-razor-company-deep-dive,7,563,1.2433,6.77
https://www.epickor.com/business/ottogi-otoki-company-deep-dive,7,981,0.7136,8.41
https://www.epickor.com/business/pulmuone-company-deep-dive,5,252,1.9841,7.89
https://www.epickor.com/business/musinsa-company-deep-dive,4,923,0.4334,8.15
https://www.epickor.com/business/samyang-foods-buldak-global-deep-dive,4,675,0.5926,7.92
https://www.epickor.com/business/coupang-company-deep-dive,3,932,0.3219,11.39
https://www.epickor.com/business/iconix-pororo-deep-dive,3,335,0.8955,7.07
https://www.epickor.com/business/monami-153-company-deep-dive,3,66,4.5455,6.67
https://www.epickor.com/business,2,54,3.7037,19.98
https://www.epickor.com/business/cuckoo-rice-cooker-company-deep-dive,2,174,1.1494,8.29
https://www.epickor.com/business/korean-apparel-suppliers,2,79,2.5316,8.16
https://www.epickor.com/business/navien-tankless-water-heater-deep-dive,2,229,0.8734,8.55
https://www.epickor.com/business/winwin-archery-company-deep-dive,2,94,2.1277,8.33
https://www.epickor.com/business/cosmax-korean-beauty-odm-deep-dive,1,349,0.2865,7.96
https://www.epickor.com/business/hurom-slow-juicer-company-deep-dive,1,189,0.5291,7.81
https://www.epickor.com/business/samick-guitar-company-deep-dive,1,175,0.5714,8.80
https://www.epickor.com/business/editor,0,3,0.0000,6.67
https://www.epickor.com/business/how-to-find-suppliers-in-korea,0,32,0.0000,7.69
https://www.epickor.com/business/jmw-hair-dryer-company-deep-dive,0,57,0.0000,12.79
https://www.epickor.com/business/k-beauty-oem-odm-korea,0,17,0.0000,13.06
https://www.epickor.com/business/korea-trade-shows-overseas-buyers,0,22,0.0000,8.50
https://www.epickor.com/business/korean-cosmetics-wholesale-guide,0,129,0.0000,10.82
https://www.epickor.com/business/korean-health-supplement-suppliers,0,38,0.0000,14.21
https://www.epickor.com/business/korean-medical-device-suppliers,0,32,0.0000,13.41
https://www.epickor.com/business/korean-packaging-suppliers,0,20,0.0000,15.10
https://www.epickor.com/business/toss-viva-republica-deep-dive,0,962,0.0000,8.12
https://www.epickor.com/business/winix-air-purifier-company-deep-dive,0,35,0.0000,11.60
