page,clicks,impressions,ctr,position
https://www.epickor.com/blog/198,131,1987,6.5929,5.61
https://www.epickor.com/blog/090,62,62820,0.0987,6.73
https://www.epickor.com/blog/275,31,318,9.7484,8.51
https://www.epickor.com/blog/171,29,768,3.7760,6.37
https://www.epickor.com/blog/274,29,830,3.4940,8.60
https://www.epickor.com/blog/071,27,3531,0.7647,5.96
https://www.epickor.com/blog/200,26,1724,1.5081,8.43
https://www.epickor.com/blog/223,18,1516,1.1873,10.72
https://www.epickor.com/blog/218,16,484,3.3058,7.43
https://www.epickor.com/blog/082,13,7061,0.1841,7.70
https://www.epickor.com/blog/043,11,3204,0.3433,6.90
https://www.epickor.com/blog/194,11,623,1.7657,8.07
https://www.epickor.com/blog/140,9,2659,0.3385,7.80
https://www.epickor.com/blog/197,9,786,1.1450,4.67
https://www.epickor.com/blog/300,9,153,5.8824,7.95
https://www.epickor.com/blog/268,8,645,1.2403,6.18
https://www.epickor.com/blog/153,7,854,0.8197,10.46
https://www.epickor.com/blog/210,7,2811,0.2490,7.79
https://www.epickor.com/blog/257,7,694,1.0086,14.86
https://www.epickor.com/blog/036,6,405,1.4815,7.21
https://www.epickor.com/blog/170,6,933,0.6431,10.57
https://www.epickor.com/blog/227,6,1689,0.3552,7.80
https://www.epickor.com/blog/263,6,478,1.2552,6.30
https://www.epickor.com/blog/272,6,148,4.0541,6.24
https://www.epickor.com/blog/055,5,1352,0.3698,8.77
https://www.epickor.com/blog/147,5,391,1.2788,7.20
https://www.epickor.com/blog/203,5,741,0.6748,8.49
https://www.epickor.com/blog/233,5,982,0.5092,8.40
https://www.epickor.com/business/musinsa-company-deep-dive,5,729,0.6859,8.02
https://www.epickor.com/business/samyang-foods-buldak-global-deep-dive,5,623,0.8026,7.87
https://www.epickor.com/blog/006,4,133,3.0075,5.98
https://www.epickor.com/blog/074,4,2274,0.1759,8.41
https://www.epickor.com/blog/174,4,704,0.5682,7.78
https://www.epickor.com/blog/181,4,1818,0.2200,6.89
https://www.epickor.com/blog/215,4,293,1.3652,8.79
https://www.epickor.com/blog/039,3,206,1.4563,14.00
https://www.epickor.com/blog/124,3,91,3.2967,4.26
https://www.epickor.com/blog/130,3,108,2.7778,5.76
https://www.epickor.com/blog/220,3,117,2.5641,7.32
https://www.epickor.com/blog/226,3,231,1.2987,7.96
https://www.epickor.com/blog/231,3,1541,0.1947,7.81
https://www.epickor.com/blog/248,3,107,2.8037,9.55
https://www.epickor.com/blog/255,3,392,0.7653,8.44
https://www.epickor.com/blog/259,3,246,1.2195,10.79
https://www.epickor.com/blog/295,3,68,4.4118,12.81
https://www.epickor.com/blog/298,3,106,2.8302,7.61
https://www.epickor.com/blog/310,3,212,1.4151,6.54
https://www.epickor.com/blog/008,2,488,0.4098,9.77
https://www.epickor.com/blog/014,2,796,0.2513,7.05
https://www.epickor.com/blog/057,2,99,2.0202,7.69
https://www.epickor.com/blog/141,2,47,4.2553,7.28
https://www.epickor.com/blog/148,2,156,1.2821,10.71
https://www.epickor.com/blog/167,2,517,0.3868,15.05
https://www.epickor.com/blog/168,2,66,3.0303,12.18
https://www.epickor.com/blog/175,2,762,0.2625,13.00
https://www.epickor.com/blog/187,2,128,1.5625,14.53
https://www.epickor.com/blog/188,2,363,0.5510,23.81
https://www.epickor.com/blog/206,2,380,0.5263,9.20
https://www.epickor.com/blog/213,2,535,0.3738,7.92
https://www.epickor.com/blog/214,2,198,1.0101,8.19
https://www.epickor.com/blog/216,2,124,1.6129,16.25
https://www.epickor.com/blog/229,2,266,0.7519,9.12
https://www.epickor.com/blog/238,2,43,4.6512,8.53
https://www.epickor.com/blog/244,2,15,13.3333,10.07
https://www.epickor.com/blog/256,2,612,0.3268,8.13
https://www.epickor.com/blog/258,2,112,1.7857,23.67
https://www.epickor.com/blog/270,2,36,5.5556,7.17
https://www.epickor.com/blog/273,2,68,2.9412,6.06
https://www.epickor.com/blog/285,2,406,0.4926,6.88
https://www.epickor.com/blog/289,2,90,2.2222,7.32
https://www.epickor.com/blog/301,2,1724,0.1160,8.16
https://www.epickor.com/business/cosmax-korean-beauty-odm-deep-dive,2,509,0.3929,5.94
https://www.epickor.com/business/k-beauty-oem-odm-korea,2,60,3.3333,7.47
https://www.epickor.com/business/korean-health-supplement-suppliers,2,15,13.3333,31.27
https://www.epickor.com/blog/011,1,414,0.2415,18.27
https://www.epickor.com/blog/015,1,156,0.6410,6.21
https://www.epickor.com/blog/021,1,48,2.0833,27.19
https://www.epickor.com/blog/023,1,12,8.3333,25.75
https://www.epickor.com/blog/025,1,46,2.1739,10.85
https://www.epickor.com/blog/034,1,6,16.6667,14.00
https://www.epickor.com/blog/050,1,70,1.4286,26.36
https://www.epickor.com/blog/059,1,29,3.4483,10.83
https://www.epickor.com/blog/060,1,40,2.5000,26.57
https://www.epickor.com/blog/062,1,34,2.9412,34.44
https://www.epickor.com/blog/067,1,31,3.2258,16.06
https://www.epickor.com/blog/081,1,36,2.7778,11.47
https://www.epickor.com/blog/089,1,148,0.6757,16.19
https://www.epickor.com/blog/128,1,38,2.6316,9.47
https://www.epickor.com/blog/133,1,370,0.2703,11.42
https://www.epickor.com/blog/134,1,29,3.4483,10.52
https://www.epickor.com/blog/135,1,955,0.1047,7.44
https://www.epickor.com/blog/137,1,487,0.2053,6.35
https://www.epickor.com/blog/138,1,58,1.7241,14.43
https://www.epickor.com/blog/152,1,42,2.3810,7.64
https://www.epickor.com/blog/156,1,102,0.9804,9.16
https://www.epickor.com/blog/159,1,12,8.3333,6.92
https://www.epickor.com/blog/166,1,1369,0.0730,10.60
https://www.epickor.com/blog/193,1,50,2.0000,9.40
https://www.epickor.com/blog/199,1,33,3.0303,8.82
https://www.epickor.com/blog/207,1,33,3.0303,9.97
https://www.epickor.com/blog/211,1,102,0.9804,13.88
https://www.epickor.com/blog/222,1,215,0.4651,10.70
https://www.epickor.com/blog/224,1,31,3.2258,11.74
https://www.epickor.com/blog/246,1,49,2.0408,8.22
https://www.epickor.com/blog/251,1,148,0.6757,7.73
https://www.epickor.com/blog/254,1,86,1.1628,8.20
https://www.epickor.com/blog/260,1,149,0.6711,10.35
https://www.epickor.com/blog/262,1,63,1.5873,9.16
https://www.epickor.com/blog/276,1,250,0.4000,8.78
https://www.epickor.com/blog/277,1,12,8.3333,8.58
https://www.epickor.com/blog/278,1,43,2.3256,7.58
https://www.epickor.com/blog/286,1,112,0.8929,6.93
https://www.epickor.com/blog/288,1,76,1.3158,10.49
https://www.epickor.com/blog/291,1,52,1.9231,10.67
https://www.epickor.com/blog/296,1,44,2.2727,6.82
https://www.epickor.com/blog/297,1,113,0.8850,10.54
https://www.epickor.com/blog/305,1,22,4.5455,9.50
https://www.epickor.com/blog/307,1,46,2.1739,9.76
https://www.epickor.com/business/apr-medicube-global-beauty-tech-deep-dive,1,345,0.2899,7.17
https://www.epickor.com/business/how-to-find-suppliers-in-korea,1,383,0.2611,7.78
https://www.epickor.com/business/toss-viva-republica-deep-dive,1,1348,0.0742,8.13
https://www.epickor.com/card-news/036,1,2,50.0000,6.50
https://www.epickor.com/card-news/288,1,18,5.5556,37.89
https://www.epickor.com/,0,175,0.0000,20.75
https://www.epickor.com/_next/image?url=%2Fassets%2Fimages%2Fposts%2F082%2Faf24b8c3-5c79-4465-9da3-2065385ad011.png&w=3840&q=75,0,2,0.0000,4.00
https://www.epickor.com/_next/image?url=%2Fassets%2Fimages%2Fposts%2F135%2F135_01.jpg&w=3840&q=75,0,2,0.0000,4.50
