날짜,클릭수,노출,CTR,게재 순위
2026-01-24,1,536,0.19%,10.8
2026-01-25,2,561,0.36%,10.1
2026-01-26,2,645,0.31%,9.6
2026-01-27,1,608,0.16%,9.1
2026-01-28,1,663,0.15%,9
2026-01-29,1,775,0.13%,7.4
2026-01-30,2,639,0.31%,8.9
2026-01-31,1,847,0.12%,10.5
2026-02-01,2,747,0.27%,11.6
2026-02-02,5,740,0.68%,9.3
2026-02-03,2,752,0.27%,7.4
2026-02-04,0,879,0%,9
2026-02-05,2,795,0.25%,10.1
2026-02-06,3,801,0.37%,9.5
2026-02-07,1,871,0.11%,9.8
2026-02-08,1,675,0.15%,7.6
2026-02-09,3,709,0.42%,7.3
2026-02-10,5,834,0.6%,7.8
2026-02-11,4,871,0.46%,6.9
2026-02-12,2,939,0.21%,6.4
2026-02-13,3,1079,0.28%,5
2026-02-14,2,1140,0.18%,4.7
2026-02-15,4,1154,0.35%,4.3
2026-02-16,7,1224,0.57%,4.9
2026-02-17,6,1210,0.5%,5.1
2026-02-18,7,1160,0.6%,6.6
2026-02-19,7,966,0.72%,5.9
2026-02-20,3,949,0.32%,5.5
2026-02-21,2,932,0.21%,6.2
2026-02-22,2,881,0.23%,5.5
2026-02-23,0,921,0%,5.3
2026-02-24,3,1184,0.25%,3.8
2026-02-25,6,1167,0.51%,4.8
2026-02-26,3,1060,0.28%,5.1
2026-02-27,0,1129,0%,4.9
2026-02-28,3,996,0.3%,4.6
2026-03-01,4,916,0.44%,5
2026-03-02,5,779,0.64%,5.6
2026-03-03,4,725,0.55%,5.9
2026-03-04,2,669,0.3%,6.7
2026-03-05,2,669,0.3%,6.7
2026-03-06,3,612,0.49%,7
2026-03-07,2,710,0.28%,7.2
2026-03-08,7,538,1.3%,6.4
2026-03-09,3,603,0.5%,5.8
2026-03-10,1,603,0.17%,7.8
2026-03-11,5,566,0.88%,6.9
2026-03-12,6,583,1.03%,7.1
2026-03-13,2,545,0.37%,7.6
2026-03-14,1,558,0.18%,6.7
2026-03-15,0,482,0%,7.8
2026-03-16,6,494,1.21%,7
2026-03-17,4,585,0.68%,6.7
2026-03-18,1,616,0.16%,8.4
2026-03-19,3,738,0.41%,5.7
2026-03-20,3,646,0.46%,6.5
2026-03-21,5,628,0.8%,6.4
2026-03-22,2,653,0.31%,6.1
2026-03-23,3,660,0.45%,5.7
2026-03-24,1,627,0.16%,6.3
2026-03-25,3,618,0.49%,7.2
2026-03-26,5,581,0.86%,7.3
2026-03-27,4,701,0.57%,6.4
2026-03-28,3,604,0.5%,6.6
2026-03-29,1,493,0.2%,7.6
2026-03-30,2,622,0.32%,6.8
2026-03-31,2,510,0.39%,7.6
2026-04-01,4,584,0.68%,7
2026-04-02,2,520,0.38%,7.6
2026-04-03,0,543,0%,7.7
2026-04-04,5,573,0.87%,6.7
2026-04-05,5,717,0.7%,6.9
2026-04-06,6,814,0.74%,6.4
2026-04-07,1,986,0.1%,5.9
2026-04-08,7,1007,0.7%,5.4
2026-04-09,4,1072,0.37%,6.2
2026-04-10,3,1006,0.3%,6.4
2026-04-11,2,1007,0.2%,5.9
2026-04-12,6,859,0.7%,6
2026-04-13,7,849,0.82%,7.6
2026-04-14,4,885,0.45%,7.8
2026-04-15,5,895,0.56%,7.2
2026-04-16,2,832,0.24%,7.4
2026-04-17,4,980,0.41%,7.6
2026-04-18,3,975,0.31%,6
2026-04-19,3,937,0.32%,6.2
2026-04-20,6,981,0.61%,7.3
2026-04-21,4,716,0.56%,8.8
2026-04-22,1,715,0.14%,9.2
2026-04-23,4,751,0.53%,9
