인기 페이지,클릭수,노출,CTR,게재 순위
https://www.epickor.com/blog/090,142,158280,0.09%,6.67
https://www.epickor.com/blog/071,142,13229,1.07%,5.99
https://www.epickor.com/blog/167,101,10739,0.94%,8.28
https://www.epickor.com/blog/171,54,1614,3.35%,6.99
https://www.epickor.com/blog/198,54,757,7.13%,5.59
https://www.epickor.com/blog/082,49,31588,0.16%,7.46
https://www.epickor.com/blog/043,33,10495,0.31%,7.67
https://www.epickor.com/blog/200,29,2009,1.44%,8.53
https://www.epickor.com/blog/274,28,804,3.48%,8.67
https://www.epickor.com/blog/275,28,293,9.56%,8.77
https://www.epickor.com/blog/153,22,3607,0.61%,10.16
https://www.epickor.com/blog/006,21,604,3.48%,5.93
https://www.epickor.com/blog/140,20,5348,0.37%,8.47
https://www.epickor.com/blog/036,18,1228,1.47%,6.64
https://www.epickor.com/blog/008,17,2368,0.72%,8.49
https://www.epickor.com/blog/223,17,1584,1.07%,11.99
https://www.epickor.com/blog/218,17,455,3.74%,7.69
https://www.epickor.com/blog/170,16,5104,0.31%,9.36
https://www.epickor.com/blog/194,15,765,1.96%,9.67
https://www.epickor.com/blog/055,14,5648,0.25%,8.62
https://www.epickor.com/blog/014,13,2172,0.6%,6.25
https://www.epickor.com/blog/160,13,845,1.54%,9.5
https://www.epickor.com/blog/124,11,382,2.88%,6.23
https://www.epickor.com/blog/074,10,9013,0.11%,7.99
https://www.epickor.com/blog/174,10,2393,0.42%,7.44
https://www.epickor.com/blog/039,10,853,1.17%,11.57
https://www.epickor.com/blog/197,8,841,0.95%,5.17
https://www.epickor.com/blog/268,8,622,1.29%,6.21
https://www.epickor.com/blog/156,8,608,1.32%,8.75
https://www.epickor.com/blog/015,8,589,1.36%,7.72
https://www.epickor.com/blog/210,7,2562,0.27%,7.93
https://www.epickor.com/blog/181,7,1953,0.36%,8.85
https://www.epickor.com/blog/227,7,1797,0.39%,7.78
https://www.epickor.com/blog/188,7,839,0.83%,21.54
https://www.epickor.com/blog/203,7,711,0.98%,8.48
https://www.epickor.com/blog/080,7,410,1.71%,16.71
https://www.epickor.com/blog/130,7,334,2.1%,6.46
https://www.epickor.com/blog/300,7,95,7.37%,7.59
https://www.epickor.com/blog/166,6,4198,0.14%,11.16
https://www.epickor.com/blog/137,6,1535,0.39%,6.69
https://www.epickor.com/blog/147,6,1108,0.54%,7.17
https://www.epickor.com/blog/263,6,459,1.31%,6.32
https://www.epickor.com/blog/175,5,1526,0.33%,12.1
https://www.epickor.com/blog/133,5,1232,0.41%,10.54
https://www.epickor.com/blog/233,5,1150,0.43%,8.04
https://www.epickor.com/,5,964,0.52%,20.22
https://www.epickor.com/blog/087,5,751,0.67%,9.94
https://www.epickor.com/blog/168,5,365,1.37%,9.45
https://www.epickor.com/blog/272,5,125,4%,5.98
https://www.epickor.com/blog/135,4,3622,0.11%,8.14
https://www.epickor.com/blog/231,4,1677,0.24%,8.66
https://www.epickor.com/blog/011,4,1353,0.3%,18.83
https://www.epickor.com/blog/257,4,562,0.71%,14.86
https://www.epickor.com/blog/215,4,323,1.24%,9.52
https://www.epickor.com/blog/138,4,259,1.54%,9.74
https://www.epickor.com/blog/226,4,215,1.86%,8.07
https://www.epickor.com/blog/134,4,212,1.89%,8.53
https://www.epickor.com/blog/050,4,161,2.48%,19.48
https://www.epickor.com/blog/220,4,125,3.2%,7.42
https://www.epickor.com/blog/125,4,113,3.54%,8.22
https://www.epickor.com/blog/193,4,106,3.77%,9.25
https://www.epickor.com/business/musinsa-company-deep-dive,3,614,0.49%,8.01
https://www.epickor.com/blog/213,3,606,0.5%,7.88
https://www.epickor.com/blog/089,3,479,0.63%,14.47
https://www.epickor.com/blog/052,3,410,0.73%,9.58
https://www.epickor.com/blog/259,3,242,1.24%,10.85
https://www.epickor.com/blog/187,3,230,1.3%,14.21
https://www.epickor.com/blog/298,3,74,4.05%,8.24
https://www.epickor.com/blog/017,3,59,5.08%,10.08
https://www.epickor.com/blog/301,2,946,0.21%,8.35
https://www.epickor.com/blog/051,2,924,0.22%,10.44
https://www.epickor.com/blog/146,2,627,0.32%,11.92
https://www.epickor.com/blog/256,2,596,0.34%,8.18
https://www.epickor.com/business/cosmax-korean-beauty-odm-deep-dive,2,476,0.42%,5.8
https://www.epickor.com/blog/206,2,448,0.45%,9.35
https://www.epickor.com/blog/255,2,388,0.52%,8.48
https://www.epickor.com/blog/129,2,380,0.53%,6
